centro_codigo,centro_nombre,centro_tipo_codigo,centro_tipo_desc_abreviada,centro_tipo_descripcion,centro_titularidad,centro_titular,nif_titular,nif_centro,dat_codigo,dat_nombre,direccion_via_tipo,direccion_via_nombre,direccion_numero,direccion_codigo_postal,municipio_codigo,municipio_nombre,distrito_codigo,distrito_nombre,contacto_telefono1,contacto_telefono2,contacto_telefono3,contacto_telefono4,contacto_fax,contacto_web,contacto_email1,contacto_email2,direccion_coor_x,direccion_coor_y,situación,fecha_constitución,lon,lat
28005003,ALFONSO X EL SABIO,14,CP INF-PRI,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,COMUNIDAD DE MADRID,****0001*,****8421*,5,Madrid-Capital,CALLE,de la Fuente de San Pedro,6,28032.0,79,Madrid,19.0,Vicálvaro,913719661,629709295,,,,http://www.educa.madrid.org/cp.alfonsodecimo.madrid,cp.alfonsodecimo.madrid@educa.madrid.org,,448773.0,4472685.0,ALTA,1973-04-12,-3.603694873361678,40.40320032067059
28005039,ANTONIO MACHADO,14,CP INF-PRI,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,COMUNIDAD DE MADRID,****0001*,****8716*,5,Madrid-Capital,CALLE,de Allariz,3,28044.0,79,Madrid,11.0,Carabanchel,915088661,,,,914006788,http://www.educa.madrid.org/cp.machado.madrid,cp.machado.madrid@educa.madrid.org,,435939.0,4468798.0,ALTA,1900-01-01,-3.7545376866829665,40.36729608426157
28005076,DE PRACTICAS ASUNCION RINCON,14,CP INF-PRI,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,COMUNIDAD DE MADRID,****0001*,****8408*,5,Madrid-Capital,AVDA,de Filipinas,5,28003.0,79,Madrid,7.0,Chamberí,915542118,,,,915345120,http://www.educa.madrid.org/cp.asuncionrincon.madrid,cp.asuncionrincon.madrid@educa.madrid.org,,439709.0,4476841.0,ALTA,1976-02-20,-3.710898212675365,40.44003244584342
28005091,AZORIN,14,CP INF-PRI,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,COMUNIDAD DE MADRID,****0001*,****8588*,5,Madrid-Capital,CALLE,de Godella,57,28021.0,79,Madrid,17.0,Villaverde,917975733,,,,,http://www.educa.madrid.org/cp.azorin.madrid,cp.azorin.madrid@educa.madrid.org,,441673.0,4466065.0,ALTA,1977-01-12,-3.6867551874677,40.34309647829591
28005106,BARCELONA,14,CP INF-PRI,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,COMUNIDAD DE MADRID,****0001*,****8589*,5,Madrid-Capital,AVDA,de la Verbena de la Paloma,14,28041.0,79,Madrid,17.0,Villaverde,913603078,,686755592,,913179568,http://www.educa.madrid.org/cp.barcelona.madrid,cp.barcelona.madrid@educa.madrid.org,,440876.0,4467767.0,ALTA,2000-01-01,-3.6962962700218047,40.358373001915446
28005131,BEATA MARIA ANA DE JESUS,72,CPR INF-PRI-SEC,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA",PRIVADO CONCERTADO,ARZOBISPADO DE MADRID,****0250*,,5,Madrid-Capital,CALLE,de Guillermo de Osma,10,28045.0,79,Madrid,2.0,Arganzuela,911095770,,,,,www.bmajesus.es,cc.beatamanadejesus.madrid@educa.madrid.org,bmajesus@planalfa.es,440841.0,4471725.0,ALTA,1982-05-06,-3.6970757969702386,40.394026351727895
28005155,BOLIVIA,14,CP INF-PRI,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,COMUNIDAD DE MADRID,****0001*,****8590*,5,Madrid-Capital,CALLE,de Villavaliente,29,28011.0,79,Madrid,10.0,Latina,914649989,,,,914649989,http://www.educa.madrid.org/cp.bolivia.madrid,cp.bolivia.madrid@educa.madrid.org,,436359.0,4473264.0,ALTA,1974-07-20,-3.7500373199971455,40.40755987754362
28005167,ESCUELAS BOSQUE,14,CP INF-PRI,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,COMUNIDAD DE MADRID,****0001*,****8344*,5,Madrid-Capital,AVDA,de Santo Ángel de la Guarda,4,28039.0,79,Madrid,9.0,Moncloa-Aravaca,914505060,,914590557,,,http://www.educa.madrid.org/cp.escuelasbosque.madrid,cp.escuelasbosque.madrid@educa.madrid.org,,439610.0,4478984.0,ALTA,1973-09-11,-3.712269239573578,40.45933027024004
28005179,CAPITAN CORTES,14,CP INF-PRI,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,COMUNIDAD DE MADRID,****0001*,****8326*,5,Madrid-Capital,CALLE,de Monseñor Oscar Romero,17,28025.0,79,Madrid,11.0,Carabanchel,914628662,914619130,,,914619130,http://www.educa.madrid.org/cp.capitancortes.madrid,cp.capitancortes.madrid@educa.madrid.org,,436942.0,4470295.0,ALTA,1900-01-01,-3.742872961382557,40.38085821812908
28005210,CERVANTES,14,CP INF-PRI,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,COMUNIDAD DE MADRID,****0001*,****8332*,5,Madrid-Capital,CALLE,de Raimundo Fernández Villaverde,4,28003.0,79,Madrid,7.0,Chamberí,915330837,681144747,,,915330837,http://www.educa.madrid.org/cp.cervantes.madrid,cp.cervantes.madrid@educa.madrid.org,,440376.0,4477564.0,ALTA,1900-01-01,-3.703101963837138,40.44659363473862
28005234,CIUDAD DE LOS ANGELES,14,CP INF-PRI,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,COMUNIDAD DE MADRID,****0001*,****8819*,5,Madrid-Capital,CALLE,de la Alegría de la Huerta,6,28041.0,79,Madrid,17.0,Villaverde,917954993,,,,915050434,http://www.educa.madrid.org/cp.ciudaddelosangeles.madrid,cp.ciudaddelosangeles.madrid@educa.madrid.org,,440891.0,4467464.0,ALTA,1978-01-26,-3.6960915567499213,40.35564446574101
28005246,CIUDAD PEGASO,14,CP INF-PRI,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,COMUNIDAD DE MADRID,****0001*,****8335*,5,Madrid-Capital,AVDA,Séptima,12,28022.0,79,Madrid,20.0,San Blas-Canillejas,917412017,,,,917436218,http://www.educa.madrid.org/cp.ciudadpegaso.madrid,cp.ciudadpegaso.madrid@educa.madrid.org,,449285.0,4477571.0,ALTA,1900-01-01,-3.5980511471887358,40.44724791578174
28005258,CLAUDIO MOYANO,14,CP INF-PRI,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,COMUNIDAD DE MADRID,****0001*,****8279*,5,Madrid-Capital,CALLE,de Cea Bermúdez,26,28003.0,79,Madrid,7.0,Chamberí,915335718,,,,915345924,http://www.educa.madrid.org/cp.claudiomoyano.madrid,cp.claudiomoyano.madrid@educa.madrid.org,,439882.0,4476725.0,ALTA,1974-11-15,-3.7088475218894437,40.43899999382835
28005261,CONDE DE ROMANONES,14,CP INF-PRI,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,COMUNIDAD DE MADRID,****0001*,****8182*,5,Madrid-Capital,CALLE,del Elfo,143,28027.0,79,Madrid,15.0,Ciudad Lineal,913673655,,,,914080947,http://www.educa.madrid.org/cp.condederomanones.madrid,cp.condederomanones.madrid@educa.madrid.org,,445512.0,4476509.0,ALTA,1900-01-01,-3.6424501898918593,40.43744210890257
28005271,CRISTOBAL COLON,14,CP INF-PRI,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,COMUNIDAD DE MADRID,****0001*,****8816*,5,Madrid-Capital,CTRA,CARABANCHEL VILLAVERDE,109,28041.0,79,Madrid,17.0,Villaverde,917973312,917988950,,,917973312,https://site.educa.madrid.org/cp.cristobalcolon.madrid/,cp.cristobalcolon.madrid@educa.madrid.org,,440043.0,4466898.0,ALTA,1978-04-19,-3.7060240545131706,40.350485085790496
28005295,DIVINO CORAZON,72,CPR INF-PRI-SEC,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA",PRIVADO CONCERTADO,FUNDACION EDUCATIVA DOCTRINA CRISTIANA,****6784*,,5,Madrid-Capital,CALLE,del Divino Redentor,55-57,28029.0,79,Madrid,6.0,Tetuán,913158107,,,,913150210,http://doctrinacristianamadrid.es,cc.divinocorazon.madrid@educa.madrid.org,direccion@doctrinacristianamadrid.es,440603.0,4480012.0,ALTA,1963-06-11,-3.7006543698887153,40.46866248018097
28005349,EMILIA PARDO BAZAN,14,CP INF-PRI,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,COMUNIDAD DE MADRID,****0001*,****8342*,5,Madrid-Capital,CALLE,del Ventorrillo,14,28005.0,79,Madrid,1.0,Centro,915306059,,,,,http://www.educa.madrid.org/cp.pardobazan.madrid,cp.pardobazan.madrid@educa.madrid.org,,440135.0,4473147.0,ALTA,1900-01-01,-3.7055277849562342,40.406785983886834
28005350,FRANCISCO FATOU,14,CP INF-PRI,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,COMUNIDAD DE MADRID,****0001*,****8136*,5,Madrid-Capital,CMNO,de la Suerte,23,28031.0,79,Madrid,18.0,Villa de Vallecas,913321050,,,,913323222,https://www.educa2.madrid.org/web/centro.cp.franciscofatou.madrid,cp.franciscofatou.madrid@educa.madrid.org,,447506.0,4469675.0,ALTA,1900-01-01,-3.6183772061168757,40.376005311215714
28005374,FRANCISCO DE QUEVEDO,14,CP INF-PRI,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,COMUNIDAD DE MADRID,****0001*,****8348*,5,Madrid-Capital,CALLE,de Granada,16,28007.0,79,Madrid,3.0,Retiro,915515211,,,,914333827,http://www.educa.madrid.org/cp.quevedo.madrid,cp.quevedo.madrid@educa.madrid.org,,442352.0,4472900.0,ALTA,1900-01-01,-3.6793791474471207,40.40471734593979
28005386,FRANCISCO RUANO,14,CP INF-PRI,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,COMUNIDAD DE MADRID,****0001*,****8906*,5,Madrid-Capital,CALLE,de Almuradiel,150,28053.0,79,Madrid,13.0,Puente de Vallecas,917862196,,,,917862196,http://www.educa.madrid.org/cp.franciscoruano.madrid,cp.franciscoruano.madrid@educa.madrid.org,,442826.0,4470163.0,ALTA,1900-01-01,-3.673547732985384,40.38009358555833
28005404,FRAY JUNIPERO SERRA,14,CP INF-PRI,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,COMUNIDAD DE MADRID,****0001*,****8230*,5,Madrid-Capital,CMNO,de Valderribas,120,28038.0,79,Madrid,13.0,Puente de Vallecas,914304882,,,,914376926,http://www.educa.madrid.org/cp.frayjunipero.madrid,cp.frayjunipero.madrid@educa.madrid.org,,444140.0,4471868.0,ALTA,1978-05-04,-3.658218432537782,40.39554237194525
28005428,FRAY PEDRO PONCE DE LEON,20,CP EE,COLEGIO DE EDUCACIÓN ESPECIAL,PÚBLICO,AYUNTAMIENTO,****7900*,****8287*,5,Madrid-Capital,CALLE,de los Yébenes,76,28047.0,79,Madrid,10.0,Latina,917178866,917194278,,,917178866,https://www.eduda2.madrid.org/web/centro.cpee.poncedeleon.madrid,cpee.poncedeleon.madrid@educa.madrid.org,EDIFICIO TRANSICIÓN VIDA ADULTA,436113.0,4471731.0,ALTA,1974-10-10,-3.7527824561055785,40.393731161381986
28005431,REINA VICTORIA,14,CP INF-PRI,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,COMUNIDAD DE MADRID,****0001*,****8909*,5,Madrid-Capital,CALLE,del Príncipe de Vergara,61,28006.0,79,Madrid,4.0,Salamanca,915631283,,,,914113067,http://www.educa.madrid.org/cp.reinavictoria.madrid,cp.reinavictoria.madrid@educa.madrid.org,,442350.0,4476086.0,ALTA,1900-01-01,-3.679691504090486,40.433418331728646
28005441,GONZALO FERNANDEZ DE CORDOBA,14,CP INF-PRI,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,COMUNIDAD DE MADRID,****0001*,****8350*,5,Madrid-Capital,CALLE,de Adanero,3,28024.0,79,Madrid,10.0,Latina,917113625,682063352,,,917113735,http://www.educa.madrid.org/cp.fernandezdecord.madrid,cp.fernandezdecord.madrid@educa.madrid.org,,433838.0,4471803.0,ALTA,1900-01-01,-3.7795940181478644,40.3942021542684
28005465,GUSTAVO ADOLFO BECQUER,14,CP INF-PRI,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,COMUNIDAD DE MADRID,****0001*,****8773*,5,Madrid-Capital,CALLE,de Santa Genoveva,32,28017.0,79,Madrid,15.0,Ciudad Lineal,914051507,,,,914053498,http://www.educa.madrid.org/cp.becquer.madrid,cp.becquer.madrid@educa.madrid.org,,444942.0,4475022.0,ALTA,1980-09-05,-3.6490416651081046,40.42400885141856
28005477,HAITI,14,CP INF-PRI,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,COMUNIDAD DE MADRID,****0001*,****8597*,5,Madrid-Capital,CALLE,de Guabairo,22,28047.0,79,Madrid,11.0,Carabanchel,914220250,,,,914651108,http://www.educa.madrid.org/cp.haiti.madrid,cp.haiti.madrid@educa.madrid.org,,436658.0,4470876.0,ALTA,1975-09-03,-3.7462761966328255,40.38607058084157
28005489,HERMANOS PINZON,14,CP INF-PRI,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,COMUNIDAD DE MADRID,****0001*,****8352*,5,Madrid-Capital,CALLE,del Azor,4,28024.0,79,Madrid,10.0,Latina,915186040,,,,,http://www.educa.madrid.org/cp.hermanospinzon.madrid,cp.hermanospinzon.madrid@educa.madrid.org,,434760.0,4472285.0,ALTA,1900-01-01,-3.7687803114360823,40.39861691977478
28005490,HERNAN CORTES,14,CP INF-PRI,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,COMUNIDAD DE MADRID,****0001*,****8680*,5,Madrid-Capital,CALLE,de los Yébenes,241,28047.0,79,Madrid,10.0,Latina,917176844,,,,917180472,http://www.educa.madrid.org/cp.hernancortes.madrid,cp.hernancortes.madrid@educa.madrid.org,,436261.0,4471447.0,ALTA,1974-08-01,-3.751010286402977,40.391184110741534
28005519,HONDURAS,14,CP INF-PRI,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,COMUNIDAD DE MADRID,****0001*,****8354*,5,Madrid-Capital,PASEO,de Federico García Lorca,19,28031.0,79,Madrid,18.0,Villa de Vallecas,913325719,,,,913325719,http://www.educa.madrid.org/cp.honduras.madrid,cp.honduras.madrid@educa.madrid.org,,447307.0,4469869.0,ALTA,1975-09-03,-3.620737326780294,40.377740437879744
28005520,HOSPITAL DEL NIÑO JESUS,36,A. HOSP.,AULA HOSPITALARIA,PÚBLICO,COMUNIDAD DE MADRID,****0001*,****8108*,5,Madrid-Capital,AVDA,de Menéndez Pelayo,65,28009.0,79,Madrid,3.0,Retiro,914094607,,,,915044473,http://www.educa.madrid.org/cpee.hospitalninojesus.madrid,cpee.hospitalninojesus.madrid@educa.madrid.org,,442574.0,4473916.0,ALTA,1988-01-13,-3.6768547511317666,40.413885358277035
28005556,MARIA SORIANO,20,CP EE,COLEGIO DE EDUCACIÓN ESPECIAL,PÚBLICO,COMUNIDAD DE MADRID,****0001*,****8419*,5,Madrid-Capital,AVDA,de la Peseta,30,28054.0,79,Madrid,11.0,Carabanchel,914624600,680472804,,,914628444,http://www.educa.madrid.org/cpee.mariasoriano.madrid,cpee.mariasoriano.madrid@educa.madrid.org,,435334.0,4468284.0,ALTA,1974-11-15,-3.761610921221047,40.36261903967842
28005568,ISAAC PERAL,14,CP INF-PRI,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,COMUNIDAD DE MADRID,****0001*,****8908*,5,Madrid-Capital,GTA,de Rufino Novalvos,5,28025.0,79,Madrid,11.0,Carabanchel,914726780,,,,,http://www.educa.madrid.org/cp.isaacperal.madrid,cp.isaacperal.madrid@educa.madrid.org,,437969.0,4470894.0,ALTA,1975-06-30,-3.730833349508682,40.38633137666865
28005571,LUIS BELLO,14,CP INF-PRI,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,COMUNIDAD DE MADRID,****0001*,****8227*,5,Madrid-Capital,CALLE,de Luis Cabrera,66,28002.0,79,Madrid,5.0,Chamartín,912205533,,,,912205535,http://www.educa.madrid.org/cp.luisbello.madrid,cp.luisbello.madrid@educa.madrid.org,,442886.0,4477222.0,ALTA,1900-01-01,-3.673474611354807,40.443688960550965
28005601,JAIME BALMES,14,CP INF-PRI,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,COMUNIDAD DE MADRID,****0001*,****8357*,5,Madrid-Capital,CALLE,de Sierra de la Solana,2,28053.0,79,Madrid,13.0,Puente de Vallecas,914785884,,,,914771646,http://www.educa.madrid.org/cp.jaimebalmes.madrid,cp.jaimebalmes.madrid@educa.madrid.org,cp.jaimebalmes.madrid@educa.madrid.org,443061.0,4471026.0,ALTA,1980-12-23,-3.670856581460846,40.387884084776466
28005623,JAVIER DE MIGUEL,14,CP INF-PRI,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,COMUNIDAD DE MADRID,****0001*,****8359*,5,Madrid-Capital,CALLE,del Puerto de Viñamala,11,28018.0,79,Madrid,13.0,Puente de Vallecas,913035102,,,,,http://www.educa.madrid.org/cp.javierdemiguel.madrid,cp.javierdemiguel.madrid@educa.madrid.org,,444277.0,4470688.0,ALTA,1900-01-01,-3.65650097859543,40.38492140044287
28005635,JOAQUIN DICENTA,14,CP INF-PRI,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,COMUNIDAD DE MADRID,****0001*,****8631*,5,Madrid-Capital,PASEO,Olivos,70,28011.0,79,Madrid,10.0,Latina,914632093,,,,917550696,http://www.educa.madrid.org/cp.joaquindicenta.madrid,cp.joaquindicenta.madrid@educa.madrid.org,,437374.0,4473045.0,ALTA,1975-09-03,-3.7380544944324026,40.4056640079617
28005660,JOSE MARIA DE PEREDA,14,CP INF-PRI,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,COMUNIDAD DE MADRID,****0001*,****8365*,5,Madrid-Capital,CALLE,de Mestanza,94,28053.0,79,Madrid,13.0,Puente de Vallecas,915072651,,,,917861787,http://www.educa.madrid.org/cp.pereda.madrid,cp.pereda.madrid@educa.madrid.org,,442708.0,4470349.0,ALTA,1978-04-01,-3.6749544829998673,40.38176107718973
28005684,JOVELLANOS,14,CP INF-PRI,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,COMUNIDAD DE MADRID,****0001*,****8151*,5,Madrid-Capital,CALLE,de Monroy,34,28044.0,79,Madrid,10.0,Latina,917055018,,,,915095089,http://www.educa.madrid.org/cp.jovellanos.madrid,cp.jovellanos.madrid@educa.madrid.org,,433511.0,4470129.0,ALTA,1900-01-01,-3.7832720389049728,40.37909612729159
28005696,JUAN DE LA CIERVA,14,CP INF-PRI,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,COMUNIDAD DE MADRID,****0001*,****8990*,5,Madrid-Capital,CALLE,de Villarrosa,7,28041.0,79,Madrid,17.0,Villaverde,917230235,917965560,,,917965560,http://www.educa.madrid.org/cp.juandelacierva.madrid,cp.juandelacierva.madrid@educa.madrid.org,cp.juandelacierva.madrid@educa.madrid.org,441372.0,4467322.0,ALTA,1974-07-10,-3.690414449312364,40.354399196816495
28005714,JUAN RAMON JIMENEZ,14,CP INF-PRI,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,COMUNIDAD DE MADRID,****0001*,****8450*,5,Madrid-Capital,CALLE,del Marqués de Viana,58,28039.0,79,Madrid,6.0,Tetuán,915717512,679297717,,,914250976,http://www.educa.madrid.org/cp.juanramonjimenez.madrid,cp.juanramonjimenez.madrid@educa.madrid.org,,440384.0,4479419.0,ALTA,1975-05-10,-3.7031818217000865,40.463304814049486
28005726,JUAN SEBASTIAN ELCANO,14,CP INF-PRI,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,COMUNIDAD DE MADRID,****0001*,****8368*,5,Madrid-Capital,CALLE,de Mirasierra,29,28026.0,79,Madrid,12.0,Usera,685477556,919138044,,,,http://www.educa.madrid.org/cp.elcano.madrid,cp.elcano.madrid@educa.madrid.org,,440188.0,4471181.0,ALTA,1975-04-25,-3.7047185172583212,40.38907908528071
28005738,LOPEZ VICUÑA,72,CPR INF-PRI-SEC,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA",PRIVADO CONCERTADO,RELIGIOSAS DE MARIA INMACULADA,****0786*,,5,Madrid-Capital,CALLE,de Hinojal,7,28037.0,79,Madrid,20.0,San Blas-Canillejas,913202969,,675170352,,913930032,http://www.lopezvicu.es,cc.lopezvicuna.madrid@educa.madrid.org,lvicunam@planalfa.es,448004.0,4475912.0,ALTA,1971-06-30,-3.6130206210370432,40.432223515058745
28005741,LUIS DE GONGORA,14,CP INF-PRI,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,COMUNIDAD DE MADRID,****0001*,****8372*,5,Madrid-Capital,CALLE,de Sarriá,49,28029.0,79,Madrid,8.0,Fuencarral-El Pardo,913860816,680925131,,,913768253,http://www.educa.madrid.org/cp.gongora.madrid,cp.gongora.madrid@educa.madrid.org,,439430.0,4480681.0,ALTA,1900-01-01,-3.7145540913863693,40.47460437644663
28005763,MANUEL DE FALLA,14,CP INF-PRI,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,COMUNIDAD DE MADRID,****0001*,****8599*,5,Madrid-Capital,AVDA,Real de Pinto,27,28021.0,79,Madrid,17.0,Villaverde,917971448,669265974,,,915052511,http://www.educa.madrid.org/cp.manueldefalla.madrid,cp.manueldefalla.madrid@educa.madrid.org,,440048.0,4466436.0,ALTA,1978-02-17,-3.705921786001304,40.34632348410554
